id,district,location_name
1,11-DISTRICT XI,54-SAN ANDRES
2,11-DISTRICT XI,52-SAN FRANCISCO
3,12-DISTRICT XII,50-SAN NARCISO
4,12-DISTRICT XII,48-BUENAVISTA
5,11-DISTRICT XI,46-MULANAY
6,8-DISTRICT VIII,44-CATANUAN
7,3-DISTRICT III,42- GEN. LUNA
8,3-DISTRICT III,40-MACALELON
9,2-DISTRICT II,38-PITOGO
10,1-DISTRICT I,36-UNISAN
11,1-DISTRICT I,34-AGDANGAN
12,1-DISTRICT I,32-PADRE BURGOS
13,13-DISTRICT XIII,22-PEREZ
14,13-DISTRICT XIII,20-ALABAT
15,13-DISTRICT XIII,18-QUEZON
16,04-DISTRICT IV,16-ATIMONAN
17,04-DISTRICT IV,14-PLARIDEL
18,05-DISTRICT V,12-GUMACA
19,06-DISTRICT VI,10-LOPEZ
20,07-DISTRICT VII,08-CALAUAG
21,09-DISTRICT IX,06-GUINAYANGAN
22,10-DISTRICT X,04-TAGKAWAYAN
23,10-DISTRICT X,02-DEL GALLEGO
